test_set,model,clip_id,episode_id,scene_id,frames,unmasked_frames,missing_frames,mask_ratio,shifted_distance,npss,full_l1,missing_l1
held_out_algorithmic,original,55,ep0pa022k,scn0031b,425,5,420,0.9882352941176471,0.2466033335740321,3.151486123075181,0.007797709200531244,0.00789053924381733
held_out_algorithmic,prior_10k,55,ep0pa022k,scn0031b,425,5,420,0.9882352941176471,0.24941330730358016,0.3011814857504511,0.0028854203410446644,0.0029197705443948507
held_out_algorithmic,release,55,ep0pa022k,scn0031b,425,5,420,0.9882352941176471,0.24941383239543327,0.36057766642064637,0.0028854680713266134,0.002919818740338087
held_out_algorithmic,original,56,ep0pa022t,scn0026,367,50,317,0.8637602179836512,0.4165555509817169,1.7253353411629906,0.013700618408620358,0.015861600637435913
held_out_algorithmic,prior_10k,56,ep0pa022t,scn0026,367,50,317,0.8637602179836512,0.3162026439625097,1.009341665301895,0.013505090959370136,0.015635231509804726
held_out_algorithmic,release,56,ep0pa022t,scn0026,367,50,317,0.8637602179836512,0.316201778528202,1.0093428818870125,0.013505153357982635,0.015635304152965546
held_out_algorithmic,original,57,ep0pa038,scn0006,302,8,294,0.9735099337748344,0.46129009698505524,5.660798072845755,0.038644131273031235,0.03969567269086838
held_out_algorithmic,prior_10k,57,ep0pa038,scn0006,302,8,294,0.9735099337748344,0.08870610338333365,0.5567906223505278,0.005626178812235594,0.005779271945357323
held_out_algorithmic,release,57,ep0pa038,scn0006,302,8,294,0.9735099337748344,0.08870811005691429,0.5556165308607169,0.005626060999929905,0.00577915133908391
held_out_algorithmic,original,58,ep0pa039,scn0001,795,33,762,0.9584905660377359,0.20275038762184955,5.04961491467363,0.021187346428632736,0.022104907780885696
held_out_algorithmic,prior_10k,58,ep0pa039,scn0001,795,33,762,0.9584905660377359,0.05505723151723351,1.506419661129331,0.005126067902892828,0.005348063074052334
held_out_algorithmic,release,58,ep0pa039,scn0001,795,33,762,0.9584905660377359,0.055064301802517424,1.5264327092396308,0.005126117262989283,0.005348115228116512
held_out_algorithmic,original,59,ep0pa039,scn0032,84,6,78,0.9285714285714286,0.12324051575904543,0.5997918475358588,0.006549792364239693,0.00705362344160676
